Hymn_Title,Hymn_Number,Rating,Type,Sunday Morning,Sunday_Evening,Sunday_Morning,Midweek,Other_Services
A CHARGE TO KEEP I HAVE (C),396,,,,,,,
A CHILD OF THE KING (D),186,,,,,,,4/11/2017
A CHRISTIAN HOME (Eb),634,,,,4/9/2017,,4/5/2017,
A friend I have called Jesus (Bb),273,,,4/16/2017,,,,
A GLORIOUS CHURCH (Bb),576,,,,,,,
A PASSION FOR SOULS (C),641,,,,,,,
A TENDER HEART (D),424,,,,,,,
A wonderful Savior is Jesus my Lord (C),141,,,4/16/2017,,,,
"ABBA, FATHER (ABBA, FATHER) (Eb)",42,,,,,,,
"ABBA, FATHER (PRITCHARD) (Bb)",7,,,,,,,
ABIDE WITH ME (Eb),175,,,,,,,
Alas! and did my Savior bleed? (Eb),296,,,,,,,
ALL FOR JESUS (Eb),417,,,,,,,
"ALL GLORY, LAUD, AND HONOR (Bb)",17,,,,,,,
ALL HAIL KING JESUS (Eb),44,,,,,,,
ALL HAIL THE POWER OF JESUS’ NAME (CORONATION) (G),46,,,,,,,
ALL I NEED (Eb),414,,,,,,,
All praise to Him (Ab),38,,,,,,,
ALL THE WAY (Bb),134,,,,,,,
ALLELUIA (G),160,,,,,,,
ALLELUIA! ALLELUIA! (F),51,,,,,,,
"Alleluia, alleluia! The majesty and glory (C)",41,,,,,,,
ALMIGHTY FATHER (Ab),61,,,,,,,
AMERICA THE BEAUTIFUL — DESCANT (Bb),700,,,,,,,
And this we know in the journey of life (G),562,,,,,,,
ANOTHER YEAR IS DAWNING (D),238,,,,,,,
ARE YE ABLE? (Ab),410,,,,,,,
Are you weary? (G),508,,,,,,,
"AROUND THE CORNER, AROUND THE WORLD (Eb)",644,,,,,,,
ASK YE WHAT GREAT THING I KNOW (F),376,,,,,,,
At the dawn of eternity (C),346,,,,,,,
AT THE NAME OF JESUS (BERRY) (Bb),56,,,,,,,
AT THE NAME OF JESUS (BLAKE) (Db),55,,,,,,,
AWAY IN A MANGER (MUELLER) (F),232,,,,,,,
BE AN EXAMPLE (F),401,,,,,,,
Be not dismayed whate’re betide (Ab),158,,,,,,,
BE STILL AND KNOW (C),97,,,,,,,
BE STRONG IN THE LORD (G),670,,,,,,,
BE THIS MY JOY TODAY (C),535,,,,,,,
BEAUTIFUL HANDS (D),332,,,,,,,
BEHOLD THE BABE OF BETHLEHEM (Dm),193,,,,,,,
BEHOLD THE GLORIES OF THE LAMB (Bb),626,,,,,,,
"BEHOLD, WHAT MANNER OF LOVE (Eb)",107,,,,,,,
BENEATH THE CROSS OF JESUS (BENEATH THE CROSS) (Eb),285,,,,,,,
BENEATH THE CROSS OF JESUS (ST. CHRISTOPHER) (Db),284,,,,,,,
BENEDICTION (Bb),569,,,,,,,
BEULAH LAND (C),632,,,,,,,
BEYOND THE SUNSET (D),597,,,,,,,
"BLESS THE LORD, O MY SOUL (C/Db/D)",65,,,,,,,
BLESSED ASSURANCE (D),381,,,,,,,
BLESSED BE THE NAME (Ab),38,,,,,,,
BLESSED CALVARY (G),320,,,,,,,
BLESSED REDEEMER (D),294,,,,,,,
"Blessed Savior, we adore Thee (F)",8,,,,,,,
BLEST BE THE TIE THAT BINDS (F),570,,,,,,,
BORN IN A MANGER (F),197,,,,,,,
BORN TO DIE (G),223,,,,,,,
BOW THE KNEE (C),13,⭐️⭐️⭐️⭐️⭐️,,,,,,
"BREAK FORTH, O BEAUTEOUS HEAVENLY LIGHT (Eb)",213,,,,,,,
BREAK THOU THE BREAD OF LIFE (D),334,,,,,,,
"BREATHE ON ME, BREATH OF GOD (F)",522,,,,,,,
"BRETHREN, WE HAVE MET TO WORSHIP (G)",577,,,,,,,
Brightly beams our Father’s mercy (Ab),646,,,,,,,
BRING THEM IN (G),642,,,,,,,
BURDENS ARE LIFTED AT CALVARY (F),305,,,,,,,
By and by when I look on His face (G),441,,,,,,,
BY THE GENTLE WATERS (C),170,,,,,,,
CALVARY COVERS IT ALL (G),295,,,,,,,
CALVARY’S BLOOD (C),281,,,,,,,
CHANNELS ONLY (G),521,,,,,,,
CHILDREN OF THE HEAVENLY FATHER (C),177,,,,,,,
CHRIST AROSE (Bb),325,,,,,,,
Christ has for sin atonement made (Db),256,,,,,,,
CHRIST IS ALL I NEED (C),403,,,,,,,
CHRIST IS COMING (F),583,,,,,,,
CHRIST IS MADE THE SURE FOUNDATION (Bb),581,,,,,,,
Christ our Redeemer died on the cross (Bb),317,,,,,,,
CHRIST RECEIVETH SINFUL MEN (C),340,,,,,,,
CHRIST RETURNETH (C),584,,,,,,,
CHRIST THE LORD IS RISEN TODAY (C),323,,,,,,,
CHRISTMAS BELL (F),200,,,,,,,
CLOSE TO THEE (F),408,,,,,,,
"COME, ALL CHRISTIANS, BE COMMITTED (F)",397,,,,,,,
"COME, CHRISTIANS, JOIN TO SING (G/Ab)",2,,,,,,,
"Come, ev’ry soul by sin oppressed (F)",478,,,,,,,
"COME, HOLY SPIRIT, DOVE DIVINE (D)",523,,,,,,,
"COME, THOU ALMIGHTY KING (F)",9,,,,,,,
"COME, THOU FOUNT OF EVERY BLESSING (NETTLETON) (D/Eb)",553,,,,,,,
"COME, THOU FOUNT OF EVERY BLESSING (WARRENTON) (C) ",554,,,,,,,
"COME, THOU LONG-EXPECTED JESUS (F)",209,,,,,,,
COME TO THE TABLE (F),330,,,,,,,
COME TO THE CROSS (F),304,,,,,,,
Come we merrily on Christmas morn (F),200,,,,,,,
"COME, WE THAT LOVE THE LORD (F)",436,,,,,,,
"Come, we that love the Lord (F)",621,,,,,,,
"COME, YE SINNERS, POOR AND NEEDY (Fm)",338,,,,,,,
"COME, YE THANKFUL PEOPLE, COME (F)",556,,,,,,,
COMPLETE IN THEE (Eb),349,,,,,4/2/2017,,
CONFESSION (G),482,,,,,,,
CONSTANTLY ABIDING (C),390,,,,,,,
COUNT ME (C),422,,,,,,,
COUNT YOUR BLESSINGS (Db),564,,,,,,,
CREATE IN ME A CLEAN HEART (D),479,,,,,,,
Creation shows the pow’r of God (F),465,,,,,,,
"CROSS OF JESUS, CROSS OF SORROW (F)",307,,,,,,,
CROWN HIM KING OF KINGS (G),31,,,,,,,
CROWN HIM WITH MANY CROWNS (D/Eb),32,,,,,,,
DARE TO BE A DANIEL (G),668,,,,,,,
DARE TO STAND (Ab),673,,,,,,,
Dawn of the morning (C),80,,,,,,,
DAY BY DAY (D),144,,,,,,,
Days are filled with sorrow and care (F),305,,,,,,,
DEAR LORD AND FATHER OF MANKIND (C),470,,,,,,,
Deep in my heart there’s a gladness (G),249,,,,,,,
"Do you hear them coming, brother (Bb)",576,,,,,,,
DO YOU REALLY WANT REVIVAL? (Eb),637,,,,,,,
DOES JESUS CARE? (C),157,,,,,,,
Down at the cross where my Savior died (G),303,,,,,,,
Down in the valley with my Savior (G),452,,,,,,,
DOXOLOGY (G),14,,,,,,,
DWELLING IN BEULAH LAND (Ab),616,,,,,,,
Dying with Jesus by death reckoned mine (F),503,,,,,,,
Earthly friends may prove untrue (G),245,,,,,,,
Earthly pleasures vainly call me (G),434,,,,,,,
EMMANUEL (C),237,,,,,,,
Encamped along the hills of light (D),377,,,,,,,
"ETERNAL FATHER, STRONG TO SAVE (C)",518,,,,,,,
EVERY DAY WITH JESUS (F),254,,,,,,,
Ev’ry morning that breaks there are mercies anew (C),94,,,,,,,
Ev’ry promise we can make (C),128,,,,,,,
FACE TO FACE (Ab),600,,,,,,,
FAIREST LORD JESUS (Eb),255,,,,,,,
FAITH IS THE VICTORY (D),377,,,,,,,
FAITH OF OUR FATHERS (G),379,,,,,,,
FAITHFUL MEN (F),393,,,,,,,
Fam’lies all around us are crumbling ev’ry day (F),635,,,,,,,
Far away in the depths of my spirit tonight (G),531,,,,,,,
Far away the noise of strife (Ab),616,,,,,,,
Far dearer than all (G),295,,,,,,,
"Father, hold me safe in Your arms (Bb)",7,,,,,,,
"FATHER, I ADORE YOU (F)",6,,,,,,,
"FATHER, LEAD ME (C)",137,,,,,,,
Father we love You; we worship and adore You (Bb),16,,,,,,,
"FILL MY CUP, LORD (Bb)",59,,,,,,,
FINALLY HOME (Fm/Ab),601,,,,,,,
FOLLOW ON (G),452,,,,,,,
FOOTSTEPS OF JESUS (Eb),262,,,,,,,
FOR ALL THE SAINTS (F),605,,,,,,,
FOR GOD SO LOVED THE WORLD (Eb),112,,,,,,,
FOR ME TO LIVE IS CHRIST (Eb/E/F),458,,,,,,,
FOR THE BEAUTY OF THE EARTH (G/Ab),559,,,,,,,
FOR THE SAKE OF HIS NAME (Ab),402,,,,,,,
FOUNTAIN OF GRACE (Eb),124,,,,,,,
Free from the law—O happy condition (Db),371,,,,,,,
FROM MY HEART (F),274,,,,,,,
"GENTLE JESUS, MEEK AND MILD (F)",695,,,,,,,
GENTLE MARY LAID HER CHILD (Em),214,,,,,,,
Gimme that old-time religion (Bb),374,,,,,,,
"Give me a passion for souls, dear Lord (C)",641,,,,,,,
GIVE ME JESUS (C),270,,,,,,,
GIVE OF YOUR BEST TO THE MASTER (C),416,,,,,,,
GIVE OUT THE GOOD NEWS (Eb),645,,,,,,,
GIVE THANKS (F),560,,,,,,,
GIVE WHAT I CANNOT KEEP (F),649,,,,,,,
GLORIFY THY NAME (Bb),16,,,,,,,
GLORIOUS IS THY NAME (F),8,,,,,,,
GLORIOUS THINGS OF THEE ARE SPOKEN (Eb),4,,,,,,,
GLORY BE TO THE FATHER (GREATOREX) (Eb),572,,,,,,,
GLORY BE TO THE FATHER (MEINEKE) (G),573,,,,,,,
"GLORY, HALLELUJAH (Bb)",534,,,,,,,
GLORY TO HIS NAME (G),303,,,,,,,
GO TELL IT ON THE MOUNTAIN (F),205,,,,,,,
Go to the world for the sake of His name (Ab),402,,,,,,,
GOD BE WITH YOU (Db),574,,,,,,,
GOD CAN DO ANYTHING (D),121,,,,,,,
"GOD, GIVE US CHRISTIAN HOMES (Db)",633,,,,,,,
God forbid that I should boast (Bb),73,,,,,,,
God gives to all His children talents (F),428,,,,,,,
God has built His church on one foundation (F),579,,,,,,,
